title,description
1. Als gebruiker wil ik een account aanmaken.,
2. Als gebruiker wil ik mijn account verwijderen.,
3. Als gebruiker wil ik inloggen met e-mail en wachtwoord.,
4. Als gebruiker wil ik een bestelling aanmaken met een lijst van producten en hoeveelheden.,
5. Als gebruiker wil ik een bestelling aanmaken door een vorige bestelling uit mijn bestelgeschiedenis te kopiëren.,
"6. Als gebruiker wil ik mijn bestelling bevestigen, waardoor deze niet meer gewijzigd kan worden.",
7. Als gebruiker wil ik mijn bestelling annuleren als deze nog niet is bevestigd.,
8. Als gebruiker wil ik loyaliteitspunten verdienen voor elke aankoop.,
9. Als gebruiker wil ik mijn huidige loyaliteitsniveau en punten weten.,
"10. Als gebruiker wil ik mijn bestelgeschiedenis bekijken, filterbaar op status en datumbereik.",
11. Als gebruiker wil ik kortingen ontvangen op basis van mijn loyaliteitsniveau.,
12. Als gebruiker wil ik de loyaliteitskortingen toegepast zien op mijn bestellingen.,
13. Als klantenbeheerder wil ik de loyaliteitsniveaus en de bijbehorende drempels en kortingen beheren.,
14. Als gebruiker met grote bestellingen wil ik een batch bestand uploaden via een REST-endpoint.,
15. Als gebruiker met grote bestellingen wil ik de toestand van een purchase order opvragen.,
"16. Als klantenbeheerder wil ik een lijst van nieuwe, ongeprijsde producten bekijken.",
17. Als klantenbeheerder wil ik de prijs voor nieuwe producten instellen en zo een product aanbieden aan klanten.,
18. Als systeem wil ik nieuwe producten opnemen met een blanco prijs.,
19. Als systeem wil ik bestellingen plaatsen bij de bakkerij.,
20. Als systeem wil ik gedeactiveerde producten als niet actief markeren.,
21. Implementeer beveiligingsmaatregelen om gebruikersgegevens te beschermen en ongeautoriseerde toegang te voorkomen.,
"22. Beveilig de REST-endpoints met de juiste authenticatie en autorisatie,",
23. Maak unit tests voor prijscalculaties.,
24. Maak unit tests voor loyaliteitsniveaulogica.,
25. Implementeer integratietests voor API-endpoints en functionaliteit.,
26. Bereik een coderegelsdekking van ten minste 60%.,
27. Bereid de codebase voor op toekomstige verbeteringen.,
"28. Implementeer configuratie voor infrastructuurverbindingen, databases, wachtrijen, IAM en IDP-instellingen.",
29. Implementeer loggen voor diagnostische en foutdoeleinden in de applicatie.,
31. Als gebruiker wil ik meldingen ontvangen wanneer mijn bestelling klaar is.,
"32. Als beheerder wil ik verkooprapporten genereren op datum, product of gebruiker.",
